id,name,ruby,ruby_origin
4007,青眼の白龍,ぶるーあいずほわいとどらごん,ブルーアイズ・ホワイト・ドラゴン
4008,ホーリー・エルフ,ほーりーえるふ,ホーリー・エルフ
4009,サイクロプス,さいくろぷす,サイクロプス
4010,ベビードラゴン,べびーどらごん,ベビードラゴン
4011,ガーゴイル,がーごいる,ガーゴイル
4012,グレムリン,ぐれむりん,グレムリン
4013,砦を守る翼竜,とりでをまもるよくりゅう,とりでをまもるよくりゅう
4014,きのこマン,きのこまん,きのこマン
4015,ヘルバウンド,へるばうんど,ヘルバウンド
4016,暗黒の竜王,あんこくのどらごん,あんこくのドラゴン
4017,剣竜,そーどどらごん,ソード・ドラゴン
4018,バーバリアン２号,ばーばりあんにごう,バーバリアン２ごう
4019,タイホーン,たいほーん,タイホーン
4020,牛魔人,ぎゅうまじん,ぎゅうまじん
4021,炎の剣士,ほのおのけんし,ほのおのけんし
4022,時の魔術師,ときのまじゅつし,ときのまじゅつし
4023,封印されし者の右足,ふういんされしもののみぎあし,ふういんされしもののみぎあし
4024,封印されし者の左足,ふういんされしもののひだりあし,ふういんされしもののひだりあし
4025,封印されし者の右腕,ふういんされしもののみぎうで,ふういんされしもののみぎうで
4026,封印されし者の左腕,ふういんされしもののひだりうで,ふういんされしもののひだりうで
4027,封印されしエクゾディア,ふういんされしえくぞでぃあ,ふういんされしエクゾディア
4028,デーモンの召喚,でーもんのしょうかん,デーモンのしょうかん
4029,邪悪なるワーム・ビースト,じゃあくなるわーむびーすと,じゃあくなるワーム・ビースト
4030,ワイト,わいと,ワイト
4031,インプ,いんぷ,インプ
4032,ミノタウルス,みのたうるす,ミノタウルス
4033,ルイーズ,るいーず,ルイーズ
4034,岩窟魔人オーガ・ロック,がんくつまじんおーがろっく,がんくつまじんオーガ・ロック
4035,マウンテン・ウォーリアー,まうんてんうぉーりあー,マウンテン・ウォーリアー
4036,アンデット・ウォーリアー,あんでっとうぉーりあー,アンデット・ウォーリアー
4037,デビル・ドラゴン,でびるどらごん,デビル・ドラゴン
4038,二頭を持つキング・レックス,にとうをもつきんぐれっくす,にとうをもつキング・レックス
4039,ジャッジ・マン,じゃっじまん,ジャッジ・マン
4040,闇・道化師のサギー,やみどうけしのさぎー,やみ・どうけしのサギー
4041,ブラック・マジシャン,ぶらっくまじしゃん,ブラック・マジシャン
4042,メデューサの亡霊,めでゅーさのぼうれい,メデューサのぼうれい
4043,竜騎士ガイア,りゅうきしがいあ,りゅうきしガイア
4044,暗黒騎士ガイア,あんこくきしがいあ,あんこくきしガイア
4045,カース・オブ・ドラゴン,かーすおぶどらごん,カース・オブ・ドラゴン
4046,壺魔人,つぼまじん,つぼまじん
4047,エルフの剣士,えるふのけんし,エルフのけんし
4048,幻想師・ノー・フェイス,いりゅーじょにすとのーふぇいす,イリュージョニスト・ノー・フェイス
4049,カルボナーラ戦士,かるぼなーらせんし,カルボナーラせんし
4050,ホーリー・ドール,ほーりーどーる,ホーリー・ドール
4051,エレキッズ,えれきっず,エレキッズ
4052,グリフォール,ぐりふぉーる,グリフォール
4053,サイガー,さいがー,サイガー
4054,クリッター,くりったー,クリッター
4055,ビック・アント,びっくあんと,ビック・アント
4056,昆虫人間,べーしっくいんせくと,ベーシック・インセクト
4057,鎧蜥蜴,あーまーりざーど,アーマー・リザード
4058,ヘラクレス・ビートル,へらくれすびーとる,ヘラクレス・ビートル
4059,キラー・ビー,きらーびー,キラー・ビー
4060,ゴキボール,ごきぼーる,ゴキボール
4061,吸血ノミ,きゅうけつのみ,きゅうけつノミ
4062,ラーバモス,らーばもす,ラーバモス
4063,グレート・モス,ぐれーともす,グレート・モス
4064,クリボー,くりぼー,クリボー
4065,マンモスの墓場,まんもすのはかば,マンモスのはかば
4066,グレート・ホワイト,ぐれーとほわいと,グレート・ホワイト
4067,オオカミ,おおかみ,オオカミ
4068,ハーピィ・レディ,はーぴぃれでぃ,ハーピィ・レディ
4069,ハーピィ・レディ三姉妹,はーぴぃれでぃさんしまい,ハーピィ・レディさんしまい
4070,タイガー・アックス,たいがーあっくす,タイガー・アックス
4071,シルバー・フォング,しるばーふぉんぐ,シルバー・フォング
4072,魔物の狩人,まもののかりうど,まもののかりうど
4073,究極完全態・グレート・モス,きゅうきょくかんぜんたいぐれーともす,きゅうきょくかんぜんたい・グレート・モス
4074,ガルーザス,がるーざす,ガルーザス
4075,千年竜,さうざんどどらごん,サウザンド・ドラゴン
4076,デビル・クラーケン,でびるくらーけん,デビル・クラーケン
4077,海月－ジェリーフィッシュ－,くらげじぇりーふぃっしゅ,くらげ－ジェリーフィッシュ－
4078,進化の繭,しんかのまゆ,しんかのまゆ
4079,海竜神,りばいあさん,リバイアサン
