name,ruby
融合,ゆうごう
封印されし,ふういんされし
死のメッセージ,しのめっせーじ
アマゾネス,あまぞねす
トゥーン,とぅーん
墓守の,はかもりの
墓守,はかもり
ガーディアン,がーでぃあん
黒蠍,くろさそり
デーモン,でーもん
忍者,にんじゃ
LV,れべる
マシンナーズ,ましんなーず
電池メン,でんちめん
E・HERO,えれめんたるひーろー
おジャマ,おじゃま
暗黒界,あんこくかい
巨大戦艦,きょだいせんかん
アンティーク・ギア,あんてぃーくぎあ
スフィンクス,すふぃんくす
D-HERO,ですてにーひーろー
ハーピィ,はーぴぃ
パペット,ぱぺっと
HERO,ひーろー
ロイド,ろいど
ビークロイド,びーくろいど
C,こくーん
N,ねおすぺーしあん
エーリアン,えーりあん
サイバー・エンジェル,さいばーえんじぇる
トイ,とい
魅惑の女王,ありゅーるくぃーん
ガジェット,がじぇっと
幻獣,げんじゅう
六武衆,ろくぶしゅう
宝玉獣,ほうぎょくじゅう
ブレイズ・キャノン,ぶれいずきゃのん
ヴォルカニック,ゔぉるかにっく
ネオス,ねおす
ヴェノム,ゔぇのむ
雲魔物,くらうでぃあん
剣闘獣,ぐらでぃあるびーすと
闘器,とうき
竹光,たけみつ
銃士,げんじゅうし
究極宝玉神,きゅうきょくほうぎょくしん
氷結界,ひょうけっかい
A・O・J,あーりーおぶじゃすてぃす
セイバー,せいばー
ワーム,わーむ
アルカナフォース,あるかなふぉーす
ライトロード,らいとろーど
ガエル,がえる
ニトロ,にとろ
ジェネクス,じぇねくす
フレムベル,ふれむべる
D,だーく
ナチュル,なちゅる
レッドアイズ,れっどあいず
BF,ぶらっくふぇざー
／バスター,すらっしゅばすたー
魔轟神,まごうしん
ジュラック,じゅらっく
地縛神,じばくしん
コアキメイル,こあきめいる
レアル・ジェネクス,れあるじぇねくす
インフェルニティ,いんふぇるにてぃ
X－セイバー,えっくすせいばー
堕天使,だてんし
フォーチュンレディ,ふぉーちゅんれでぃ
ドラグニティ,どらぐにてぃ
サイバー・ドラゴン,さいばーどらごん
セイヴァー,せいゔぁー
シンクロン,しんくろん
レプティレス,れぷてぃれす
紫炎,しえん
ジャンク,じゃんく
トマボー,とまぼー
Sin,しん
ジェムナイト,じぇむないと
ラヴァル,らゔぁる
ジェム,じぇむ
ヴァイロン,ゔぁいろん
スクラップ,すくらっぷ
フュージョン,ふゅーじょん
エレキ,えれき
V・HERO,ゔぃじょんひーろー
M・HERO,ますくどひーろー
カラクリ,からくり
リチュア,りちゅあ
ガスタ,がすた
インヴェルズ,いんゔぇるず
リアクター,りあくたー
機皇帝,きこうてい
代行者,さばきのだいこうしゃ
極星獣,きょくせいじゅう
極星,きょくせい
極星宝,きょくせいほう
音響戦士,さうんどうぉりあー
極星霊,きょくせいれい
極星天,きょくせいてん
極神,きょくしん
リゾネーター,りぞねーたー
機皇,きこう
機皇兵,きこうへい
TG,てっくじーなす
ゼンマイ,ぜんまい
ペンギン,ぺんぎん
エヴォルダー,えゔぉるだー
エヴォルド,えゔぉるど
落とし穴,おとしあな
セイクリッド,せいくりっど
ヴェルズ,ゔぇるず
ガガガ,ががが
ゴゴゴ,ごごご
フォトン,ふぉとん
甲虫装機,いんぜくたー
忍法,にんぽう
侵略の,しんりゃくの
バウンサー,ばうんさー
幻蝶の刺客,げんちょうのしきゃく
聖刻,せいこく
魔人,ぎゅうまじん
ヒロイック,ひろいっく
先史遺産,おーぱーつ
魔導書,まどうしょ
マドルチェ,まどるちぇ
ギアギア,ぎあぎあ
エクシーズ,えくしーず
No.,なんばーず
海皇,かいおう
紋章獣,もんしょうじゅう
水精鱗,まーめいる
アビス,あびす
魔導,まどうし
素早い,すばやい
ダストン,だすとん
聖騎士,せいきし
ブラック・マジシャン,ぶらっくまじしゃん
ギャラクシー,ぎゃらくしー
炎王,えんおう
聖剣,せいけん
希望皇ホープ,きぼうおうほーぷ
ZW,ぜあるうぇぽん
炎舞,えんぶ
炎星,えんせい
ヘイズ,へいず
陽炎獣,へいずびーすと
ギミック・パペット,ぎみっくぱぺっと
ドドド,どどど
BK,ばーにんぐなっくらー
幻獣機,げんじゅうき
炎王獣,えんおうじゅう
CNo.,かおすなんばーず
CX,かおすえくしーず
CNo.39,かおすなんばーず39
SDロボ,すーぱーでぃふぇんすろぼ
光天使,ほーりーらいとにんぐ
アンブラル,あんぶらる
武神,ぶしん
ホール,ほーる
蟲惑魔,こわくま
オーパーツ,おーぱーつ
H・C,ひろいっくちゃれんじゃー
マリスボラス,まりすぼらす
ゴーストリック,ごーすとりっく
ヴァンパイア,ゔぁんぱいあ
サイバー,さいばー
サイバネティック,さいばねてぃっく
森羅,しんら
ネクロバレー,ねくろばれー
ズババ,ずばば
メダリオン,めだりおん
フィッシュボーグ,ふぃっしゅぼーぐ
RUM,らんくあっぷまじっく
